Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...,"54,990","36,990",32% off,4.3,"12,142 Ratings & 950 Reviews",ASUS
Lenovo IdeaPad Pro 5 2.8K OLED AI PC Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home) 14IMH9...,"1,46,890","99,900",31% off,4.3,142 Ratings & 18 Reviews,Lenovo
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"49,990","31,990",36% off,4.3,31 Ratings & 5 Reviews,Acer
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"82,789","59,990",27% off,4.5,"5,499 Ratings & 480 Reviews",SAMSUNG
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,"1,24,790","87,990",29% off,4.5,847 Ratings & 63 Reviews,Lenovo
Thomson NEO Core Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin...,"59,990","32,990",45% off,4.1,142 Ratings & 58 Reviews,Thomson
HP 250R G9 Intel Core i3 13th Gen i3-1315U up to 4.5 GHz with Intel Turbo Boost - (16 GB/512 GB SSD/Wi...,"54,999","33,890",38% off,4.0,26 Ratings & 4 Reviews,HP
Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA07RIH ...,"92,014","42,990",53% off,3.9,92 Ratings & 11 Reviews,Lenovo
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1212IN...,"52,990","42,990",18% off,4.4,193 Ratings & 21 Reviews,MSI
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"32,999","15,990",51% off,3.9,397 Ratings & 60 Reviews,Acer
