Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company,Total Ratings,Total Reviews Extracted
Infinix X3 Slim Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light...,64990.0,35990.0,44,4.1,"1,175 Ratings & 158 Reviews",Infinix,1175,158
HP Pavilion Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2015TU Thin and Light...,93261.0,76990.0,17,4.1,267 Ratings & 20 Reviews,HP,267,20
DELL MSO'2024 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and ...,49169.0,35990.0,26,4.1,98 Ratings & 6 Reviews,DELL,98,6
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK323...,61990.0,36990.0,40,4.4,"3,472 Ratings & 374 Reviews",ASUS,3472,374
ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...,65768.0,50990.0,44,4.3,323 Ratings & 30 Reviews,ASUS,323,30
Lenovo V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) V14 ITL G2 Thin and Light ...,72990.0,36749.0,42,4.1,741 Ratings & 54 Reviews,Lenovo,741,54
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,51999.0,41990.0,42,4.0,235 Ratings & 25 Reviews,Acer,235,25
HP 255 G10 AMD Ryzen 5 Quad Core 7520U UPTO 4.3Ghz - (8 GB/512 GB SSD/Windows 11 Home) 255 G10 Thin an...,79990.0,29990.0,37,3.9,41 Ratings & 5 Reviews,HP,41,5
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Ho...",61990.0,49990.0,41,4.3,57 Ratings & 6 Reviews,Acer,57,6
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,48529.0,35990.0,29,4.2,"2,035 Ratings & 157 Reviews",Lenovo,2035,157
DELL Vostro Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) VN3520HPCNX001ORB1 Thin a...,78653.0,33990.0,25,4.2,408 Ratings & 35 Reviews,DELL,408,35
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home...",74990.0,58690.0,40,4.2,655 Ratings & 34 Reviews,DELL,655,34
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK523...,86990.0,44990.0,31,4.4,"2,476 Ratings & 199 Reviews",ASUS,2476,199
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,-1176.2745098039215,59990.0,52,4.3,803 Ratings & 49 Reviews,ASUS,803,49
Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,40490.0,25890.0,36,4.1,"2,749 Ratings & 238 Reviews",Lenovo,2749,238
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 Home) A324-53 Thin and Light L...,69999.0,51990.0,25,4.4,65 Ratings & 6 Reviews,Acer,65,6
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,59990.0,34990.0,41,4.0,873 Ratings & 76 Reviews,Acer,873,76
Ultimus Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-MB Th...,24990.0,11990.0,52,3.3,"2,122 Ratings & 301 Reviews",Ultimus,2122,301
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,44100.0,32990.0,25,4.3,840 Ratings & 58 Reviews,Acer,840,58
